date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:43	34155/34155	---M-Z	200	added ('OK')	text/html	etag:%22478ca8659662102231712e233d2534a3-gzip%22	https://www.drk-aspach.de/	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/index.html	(from )
20:49:43	100/100	---M-Z	200	added ('OK')	text/plain	date:Sun,%2031%20May%202026%2018:49:39%20GMT	https://www.drk-aspach.de/robots.txt		(from )
20:49:44	231883/231883	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20May%202026%2018:49:40%20GMT	https://www.drk.de/fileadmin/DRK-Logo-Facebook.png	D:/projects/alte_website/DRK-Aspach/www.drk.de/fileadmin/DRK-Logo-Facebook.0.delayed	(from https://www.drk-aspach.de/)
20:49:44	231883/231883	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20May%202026%2018:49:40%20GMT	https://www.drk.de/fileadmin/DRK-Logo-Twitter.png	D:/projects/alte_website/DRK-Aspach/www.drk.de/fileadmin/DRK-Logo-Twitter.png	(from https://www.drk-aspach.de/)
20:49:44	1236/1236	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Aug%202025%2010:45:56%20GMT	https://www.drk-aspach.de/_assets/9d0d9d423edf61855281dad6f8fda023/Css/styles.css?1756118756	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/9d0d9d423edf61855281dad6f8fda023/Css/stylesf942.css	(from https://www.drk-aspach.de/)
20:49:44	828039/828039	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/StyleSheets/stylesheet.min.css?1764743946	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/StyleSheets/stylesheet.min0856.css	(from https://www.drk-aspach.de/)
20:49:44	1037/1037	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Oct%202024%2007:40:16%20GMT	https://www.drk-aspach.de/_assets/c6d4d274eb87a12180a04ff4360967d1/Css/VideoShariff.min.css?1729496416	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/c6d4d274eb87a12180a04ff4360967d1/Css/VideoShariff.min9059.css	(from https://www.drk-aspach.de/)
20:49:45	176/176	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20May%202026%2015:57:04%20GMT	https://www.drk-aspach.de/_assets/6c1b49b75d24aa1aa3233026cc3bc5e4/Css/general.css?1779983824	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/6c1b49b75d24aa1aa3233026cc3bc5e4/Css/generalcdbb.css	(from https://www.drk-aspach.de/)
20:49:45	2122/2122	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/JavaScriptTinySlider/tiny-slider.css?1764743946	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/JavaScriptTinySlider/tiny-slider0856.css	(from https://www.drk-aspach.de/)
20:49:45	1256/1256	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/JavaScriptTinySlider/tiny-slider-modifications.css?1764743946	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/JavaScriptTinySlider/tiny-slider-modifications0856.css	(from https://www.drk-aspach.de/)
20:49:46	34155/34155	---M-Z	200	added ('OK')	text/html	etag:%22478ca8659662102231712e233d2534a3-gzip%22	https://www.drk-aspach.de/index.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/index-2.html	(from https://www.drk-aspach.de/)
20:49:46	505/505	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/apple-touch-icon.png?v=68ddf38fd	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/apple-touch-icon2abd.png	(from https://www.drk-aspach.de/)
20:49:46	482/482	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/favicon-32x32.png?v=68ddf38fd	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/favicon-32x322abd.png	(from https://www.drk-aspach.de/)
20:49:46	479/479	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/favicon-16x16.png?v=68ddf38fd	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/favicon-16x162abd.png	(from https://www.drk-aspach.de/)
20:49:46	608/608	---M-Z	200	added ('OK')	application/manifest+json	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/site.webmanifest?v=68ddf38fd%22%20crossorigin=%22use-credentials	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/site6dd3.webmanifest	(from https://www.drk-aspach.de/)
20:49:46	726/726	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/safari-pinned-tab.svg?v=68ddf38fd%22%20color=%22	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/safari-pinned-tab99ec.svg	(from https://www.drk-aspach.de/)
20:49:47	2734/2734	---M-Z	200	added ('OK')	image/x-icon	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/favicon.ico?v=68ddf38fd	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/favicon2abd.ico	(from https://www.drk-aspach.de/)
20:49:47	316/316	---M-Z	200	added ('OK')	application/xml	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/browserconfig.xml?v=68ddf38fd	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/browserconfig2abd.xml	(from https://www.drk-aspach.de/)
20:49:47	35650/35650	---M-Z	200	added ('OK')	text/html	etag:%22d665791001cfd137d2ccee3d389e8ee5-gzip%22	https://www.drk-aspach.de/startseite-ov.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/startseite-ov.html	(from https://www.drk-aspach.de/)
